Station,State,ID,Lat,Lon,Elev
Sutton,AK,PAJV,61.72,-148.88,168
Fairbanks Eiels,AK,PAEI,64.67,-147.10,167
Tin City,AK,PATC,65.57,-167.92,82
Tatalina,AK,PATL,62.9,-155.98,294
Emmonak,AK,PAEM,62.77,-164.52,3
Klawock,AK,PAKW,55.58,-133.07,15
Gustavus,AK,PAGS,58.42,-135.73,9
McCarthy,AK,PAMX,61.43,-142.92,455
Savoonga,AK,PASA,63.68,-170.50,16
Hoonah,AK,PAOH,58.1,-135.45,0
Indian Mountain,AK,PAIM,66,-153.70,375
Nuiqsut,AK,PAQT,70.21,-150.99,17
Alabaster,AL,KEET,33.18,-86.78,178
Anniston,AL,KANB,33.58,-85.85,186
Auburn-Opelika,AL,KAUO,32.62,-85.43,236
Mobile Downtown,AL,KBFM,30.63,-88.07,8
Birmingham,AL,KBHM,33.57,-86.75,192
Centreville,AL,KCKL,32.9,-87.25,140
Decatur,AL,KDCU,34.65,-86.95,180
Dothan,AL,KDHN,31.32,-85.45,122
Evergreen,AL,KGZH,31.42,-87.04,79
Gadsden,AL,KGAD,33.97,-86.08,173
Huntsville,AL,KHSV,34.65,-86.77,196
Montgomery,AL,KMGM,32.3,-86.40,62
Mobile,AL,KMOB,30.68,-88.25,67
Muscle Shoals,AL,KMSL,34.75,-87.62,168
Maxwell AFB,AL,KMXF,32.38,-86.37,51
Ozark,AL,KOZR,31.28,-85.72,91
Tuscaloosa,AL,KTCL,33.22,-87.62,52
Troy,AL,KTOI,31.87,-86.02,121
Searcy,AR,KSRC,35.21,-91.74,80
NW Arkansas Airport,AR,KXNA,36.28,-94.31,392
Mount Ida,AR,KMWT,34.55,-93.58,214
Russellville,AR,KRUE,35.26,-93.09,115
Walnut Ridge,AR,KARG,36.13,-90.92,83
Springdale,AR,KASG,36.18,-94.12,412
Batesville,AR,KBVX,35.73,-91.65,141
Blytheville,AR,KBYH,35.97,-89.95,78
El Dorado,AR,KELD,33.22,-92.80,77
Flippin,AR,KFLP,36.3,-92.47,350
Fort Smith,AR,KFSM,35.33,-94.37,141
Fayetteville,AR,KFYV,36,-94.17,381
Hot Springs,AR,KHOT,34.48,-93.10,165
Harrison,AR,KHRO,36.27,-93.15,416
Jonesboro,AR,KJBR,35.83,-90.65,80
Little Rock,AR,KLIT,34.73,-92.23,79
